tipologia,area,Tiponeg,local,preco,link
"Moradia, com 2 anexos na Sobreda, Almada",91 m²,Moradia para comprar: ,"Moradia para comprar: Charneca de Caparica e Sobreda, Almada, Setúbal",199800€,https://www.imovirtual.com/pt/anuncio/moradia-com-2-anexos-na-sobreda-almada-ID1804x.html#ade743b61c
Andar Moradia T3 | Praça do Marques | Renovado | MaiaGest,120 m²,Moradia para comprar: ,"Moradia para comprar: Paranhos, Porto",240000€,https://www.imovirtual.com/pt/anuncio/andar-moradia-t3-praca-do-marques-renovado-maiagest-ID17Svw.html#ade743b61c
Moradia T3+1 c/ Piscina | São Cosme,"229,26 m²",Moradia para comprar: ,"Moradia para comprar: Gondomar (São Cosme), Valbom e Jovim, Gondomar, Porto",399900€,https://www.imovirtual.com/pt/anuncio/moradia-t3-1-c-piscina-sao-cosme-ID17ymI.html#ade743b61c
"Apartamento T3 varanda com floreira e lugar garagem duplo, ao Dragão","112,67 m²",Apartamento para comprar: ,"Apartamento para comprar: Campanhã, Porto",357000€,https://www.imovirtual.com/pt/anuncio/apartamento-t3-varanda-com-floreira-e-lugar-garagem-duplo-ao-dragao-ID17sMv.html#ade743b61c
"Apartamento Novo, T3 no Piso 1 com Churrasqueira no Montijo",119 m²,Apartamento para comprar: ,"Apartamento para comprar: Montijo e Afonsoeiro, Montijo, Setúbal",400000€,https://www.imovirtual.com/pt/anuncio/apartamento-novo-t3-no-piso-1-com-churrasqueira-no-montijo-ID17Pql.html#ade743b61c
Luxuoso T5 em Lisboa em Condomínio Privado com Piscina,"281,70 m²",Apartamento para comprar: ,"Apartamento para comprar: Olivais, Lisboa",938000€,https://www.imovirtual.com/pt/anuncio/luxuoso-t5-em-lisboa-em-condominio-privado-com-piscina-ID17Q6p.html#ade743b61c
"Apartamento T1, Boavista","56,40 m²",Apartamento para comprar: ,"Apartamento para comprar: Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",215000€,https://www.imovirtual.com/pt/anuncio/apartamento-t1-boavista-ID16WZk.html#ade743b61c
Apartamento T1 Novo à Estação de Campanhã,51 m²,Apartamento para comprar: ,"Apartamento para comprar: Bonfim, Porto",175000€,https://www.imovirtual.com/pt/anuncio/apartamento-t1-novo-a-estacao-de-campanha-ID16TSZ.html#ade743b61c
Apartamento T2 em R/C com 3 WC em zona Premium no Montijo,115 m²,Apartamento para comprar: ,"Apartamento para comprar: Montijo e Afonsoeiro, Montijo, Setúbal",285000€,https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-r-c-com-3-wc-em-zona-premium-no-montijo-ID17Poo.html#ade743b61c
T2 nas Avenidas Novas com Piscina e Garagem em Condomínio...,"109,66 m²",Apartamento para comprar: ,"Apartamento para comprar: Avenidas Novas, Lisboa",760000€,https://www.imovirtual.com/pt/anuncio/t2-nas-avenidas-novas-com-piscina-e-garagem-em-condominio-ID16IjL.html#ade743b61c
